Tweet,Level_A,Class,Level_C
सब रंडी नाच देखने मे व्यस्त जैसे ही कोई #शांतीदूत के साथ कुछ होगा सब #रंडीरोना शुरू कर देंगे,Offensive,UNT,NULL
तुम जैसे हरामियों के लिए बस जूतों की कमी है शुक्र कर अभी तुम्हारी लिंचिंग हुई नहीं है हिंदुओं के जागने की देर है सच में होगी अभी तो तुम जैसे हरामी सुवर ड्रामा बनाएं हो सुवर कहीं का मौलाना। तुम जैसे हरामियों कुत्ते की मौत मारना चाहिए सुवर जैसी शक्ल रंडी की औलाद सुवर कहीं का ।।।।,Offensive,TIN,GRP
इस मादरचोद को धुण्डके गांड मे गोली मरो @Uppolice,Offensive,TIN,IND
हद तो तब हो जाती हैं जब आरक्षण का लाभ लेने वाले लोग ही आरक्षण के खिलाफ भोंकने लग जाते हैं,Offensive,TIN,GRP
प्लीज कॉल मेरी जबरदस्ती चुदाई करो ना,Offensive,UNT,NULL
अमित शाह से बाद में फिर तू पूछेगी यह क्या कर दिया रंडी,Offensive,TIN,IND
नफरत करनी है उतनी कर लो रंडवो बाजारू रंडी कि औलादो।।,Offensive,TIN,OTH
बेटे तेरे जैसे मेरी कार के टायर साफ करते है 400 रुपये महीने पर तेरी अवकात पता है भड़वा है तू दंगाई संघ का तेरी तो ऐसी की तैसी सड़क छाप स्वर की औलाद चल भड़वी के तू ब्लॉक हुआ अब स्वर के बच्चे,Offensive,TIN,IND
लुंड की प्यासी रंडी ने लुंड को चूस -चूस कर पिया 2 720p http://xv.musz.info/%e0%a4%b2%e0%a5%81%e0%a4%82%e0%a4%a1-%e0%a4%95%e0%a5%80-%e0%a4%aa%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b8%e0%a5%80-%e0%a4%b0%e0%a4%82%e0%a4%a1%e0%a5%80-%e0%a4%a8%e0%a5%87-%e0%a4%b2%e0%a5%81%e0%a4%82/ …,Offensive,UNT,NULL
"जल के बिना मछली जिंदा रह सकती है मगर बीजेपी टीवी पर धार्मिक विवादों पर बहस दिखाये बिना जिंदा नही रह सकती,,, @ziddy_zoya @BebakAawaj @VoiceofmyBharat @Anjupra7743 @ppbajpai",Offensive,TIN,GRP
एक शख्स ऐसा भी है जिसका नाम मोदी है पैर से लेकर सिर तक सिर्फ और सिर्फ झूठ फरेब धोखेबाजी नमक हरामि गद्दारी देश के प्रति दिखाई देती है आक थू थू मोदी नाम पर,Offensive,TIN,IND
5 साल से एक जानवर के नाम पे मार रहे हो वो दिखता नही। शूरूआत करोगे तो अब बराबर जवाब मिलेगा तब रंडी रोना रोते रहना,Offensive,UNT,NULL
भोसडीके अभिनंदन को बीच में लाने को किसने बोला ? मा चोदेंगे फिर तो,Offensive,TIN,IND
तू हिजड़ा की सकल पे तू कुत्ता भी लुंड नहीं मारेगा,Offensive,UNT,NULL
