Tweet,Class,,
राम कदम वागण्यात नाही तर बोलण्यात चुकला  बीजेपी मग अजितदादा कुठे तुमच्या तोंडात मूतले होते का?,Offensive,TIN,GRP
हीच का तुमची शिवसेने चि शिकवण... आपली आई म्हणजे दैवत आणि दुसऱ्याची आई म्हणजे रांड... 🤬🤬,Offensive,TIN,GRP
हे वाचा गाढवांनो. आणि हे ही सांगा की तुमच्या मॅडम आणि पप्पूने 2008 साली काय करार केला चीनी कम्युनि…,Offensive,TIN,GRP
भक्त आंधळे असतात. मूर्खा ना काही कळत नाही.,Offensive,TIN,GRP
१९६६ साली छत्रपती शिवाजी महाराज या जागतिक दर्जाच्या सम्राटाचे नाव (brand) वापरून ज्यांनी  शिव सेना स्थापन केली त्यांची…,Offensive,TIN,GRP
भक्तांची आधुनिक झासी कंगना रानावत हिचे झाशीच्या राणी बद्दलच वक्तव्य बघा   तुम्हाला लाज वाटायला पाहिजे   दळभद्री बिंडोक भ…,Offensive,TIN,GRP
शांत राहिले की ही बाळासाहेबांची सेना नाही अन् थोडे अशांत झाले की आतंकी सेना.. त्यांच्या मतावर तेच ठाम नाहीत. मंद भक्त,Offensive,TIN,GRP
यांना पोर्टस्टार म्हणणाऱ्या नालायक जातीच्या ला महाराष्ट्रातील विशिष्ट पक्षाचे कार्यक…,Offensive,TIN,GRP
मरणार.. लाचारी रक्तात भिणली आहे यांच्या. आरश्यासमोर उभे राहू शकत नाहीत म्हणून त्यांची दळभद्री तोंडे घेऊन आपल्या समोर फडकत असतात.,Offensive,TIN,GRP
अरे येड्याहो तुम्ही तर मर्चंट नेव्हीतल्या माणसाला भारतीय नौदलाचा अधिकारी करून टाकले होते मूर्खांहो आणि मुंबई महानगरपालिके…,Offensive,TIN,GRP
च्यायला ह्यांना चॅनेल बंद करायचा फतवा काढावा लागतो  शिवसेना आहे की हिजडिसेना  एवढंच आहे तर सोशल मीडि…,Offensive,TIN,GRP
तेव्हा पाकिट त्यांच्या तोंडात कोंबलेले असतं,Offensive,TIN,GRP
आधी बातमी वाच रे मंद भक्ता  तुमच्या सारख्या लोकांसाठी च बनवून ठेवलीय. जरा कमी तों…,Offensive,TIN,GRP
भाजप तर नालायक आहेचं. त्यांची मुजोरी य् सहा वर्षांत खूप वाढली आहे. पण अशीच मुजोरी आणि हिंसा हे कम्युनिस्ट वर्षानुव…,Offensive,TIN,GRP
अरे मादरचोद तुमची औकात काय आहे रे. भोसडीच्यानो कोणी लवडा विचारत नाही तुम्हाला. राजपुत भांडी घासत हो…,Offensive,TIN,GRP
हिंदू धर्मात 4 वेद  6 शास्त्र  18 पुराण  60 नीति. 108 उपनिषद आहेत तरीही काही दळभद्री लोक डोके टेकवायला पीर बाबाच्या मदार वर जातात,Offensive,TIN,GRP
हा तमाशा सुरु केला भाजपवाल्यानीं केवळ दळभद्री राजकारण करत बिहार जिंकण्यासाठी .,Offensive,TIN,GRP
कारण ती बावळट आहे  आणि continue गरळ ओकतोय तरी मंद लोकांना कळत नाहीय  किंवा कळून सुद्दा तिला support करत आहेत,Offensive,TIN,GRP
ठाकरे सरकार अणी संजय राऊत   कंगनने तुम्ची वाट लावुन ताकली आही अणी बाराच तुम्हीलोकांचा तोन्डात तमाचा मर्ला आहे । आत…,Offensive,TIN,GRP
भिकारचोट पत्रकार दलाल आहेत साले,Offensive,TIN,GRP
म्हणून हे परप्रांतीय लोंढे थांबवा आणि महाराष्ट्रातील नेत्यांनी हिंदी ची चमचेगिरी करन बं…,Offensive,TIN,GRP
छान thread लिहिला आहे..पण त्या बावळट माणसांना असले स्पष्टीकरण देण्याची काय गरज? काही झालं तरी फडण…,Offensive,TIN,GRP
एकदम मान्य   नाहीतरी ही भिकारचोट मंडळी त्या सिनेमामध्ये आपल्या संस्कृतीचा लिलाव कर…,Offensive,TIN,GRP
भिकारचोट मराठी मीडि…,Offensive,TIN,GRP
असे बावळट लोकं सत्ताधारी पक्षात आहेत  काय अपेक्षा करणार आपण त्या पक्षाकडून,Offensive,TIN,GRP
facts. मंद भक्तांची लोकसंख्या माहित नाही pm care मध्ये आलेला फंड किती माहित नाही? मंद भक्तांचा पगार ४० पै…,Offensive,TIN,GRP
मागच्या 2 दिवसापासून बघतोय ह्या युपी बिहारी लोकांना महाराष्ट्र ला शिव्या देताना बघतोय. अरे मादरचोद कुत्र्यांनो तुम…,Offensive,TIN,GRP
तुम्ही कंगनाच काय घेऊन बसलात जर मुंबई महानगरपालिकाने प्रत्येक ठिकाणी कारवाई केली तर तुम्ही झाटु लोकं मुंबईत राहु पण ना…,Offensive,TIN,GRP
नशीब काही दळभद्री लोक भारत   पाकिस्तान बॉर्डर प्रदेशात…,Offensive,TIN,GRP
काही महाराष्ट्र द्रोही गिधाडं आणि त्याच्या सोबतीला काही कावळे महाराष्ट्राला बदनाम करण्याचा…,Offensive,TIN,GRP
काँग्रेस वाले सुद्धा मंद आहेत चुकून शिवसेनेच्या नेत्यांची नावे पुढे आली तर कस होईल ह्यांच??,Offensive,TIN,GRP
दळभद्री भाट आहे हे  लोक उगाच डोक्यावर घेतात यांना  स्वताच्या फायद्यासाठी सरकारची हांजी  हांजी करणे एवढेच यांचे काम .,Offensive,TIN,GRP
• तु आणि महाराष्ट्रात येणाऱ्या इतर भिकारी भैय्यांना आम्ही इथे नाही बोलवले  तुम्ही इथे तुमचे पोट भरायला आले आहा…,Offensive,TIN,GRP
किती मोठी गम्मत आहे ना? जेव्हा ह्यांनी मुलींना पळवुन नेण्याची गोष्ट केलेली तेव्हा केंद्र सरकार तोंडात मूग गिळून…,Offensive,TIN,GRP
ज्यांचा बाप सकाळच्या पारी बोचा आवळून सार्वजनिक संडासाच्या लाईतन उभा असतो  ते शैणिक सुद्धा आता म्हणायला लागलेत मुंबई…,Offensive,TIN,GRP
बीजेपी च्या मंद कार्यकर्त्यांना माहिती आहे आवाज कोणाचा चालतो...एकाचा फक्त डोळा लाल झाला तरी…,Offensive,TIN,GRP
कंगणाला संजय राऊत हरामखोर म्हणाला होता  तेव्हा यांच्या तोंडात  मावा  होता.,Offensive,TIN,GRP
फडणवीस सरकार असताना आरक्षनाचे राजकारण करुण तोंडाला फेस येई पर्यंत आरोप करणारे तोंडात मोगरी फसल्या सारखे गप्प आहेत... बा…,Offensive,TIN,GRP
मादरचोद    रांडाची औलाद आहात तुम्हीं साले गुंडे .... मी मरा…,Offensive,TIN,GRP
अंधभक्तांना आता त्यांच्या गोट्या दाबायचा task देणार आहे  कोरोना गायब,Offensive,TIN,GRP
गप्प ए खुळ्या ल   .....तू आणि तुझे गायपट्यातले लोक्स तुमची तिकडेच काशी करा.....मुंबई आणि महाराष्ट्रात फक्त,Offensive,TIN,GRP
भिकारचोट राजकारणानी मराठ्याचा घात केला आयुष्यात प्रथम डोळ्यात पाणी आले जबाबदारीन सांगतो हायकोर्टाचे निर्णय सुप्रिम…,Offensive,TIN,GRP
